stationCode,stationId,collectionDTstart,collectionLatitude,collectionLongitude,locationName,studyId,studyName,projectId,projectName,provinceId,fieldMethodId,fieldMethodCode,labReplicate,parameterCode,resultNumeric,resultText,unitId,nbiStudyName,collectionId,parameterClassId,parameterClass,parameterId,units
NC06_CB01,2627,9/7/06 0:00,36.38929,-75.84133,Currituck Banks - Currituck Sound,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,30.07,SRF-water,256,,35838,232,Water Nutrients,1310,ug/L
NC06_CB02,2628,9/7/06 0:00,36.39447,-75.84682,Currituck Banks - Currituck Sound,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,30.04,SRF-water,256,,35839,232,Water Nutrients,1310,ug/L
NC06_CB03,2629,9/7/06 0:00,36.39127,-75.85897,Currituck Banks - Currituck Sound,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,27.34,SRF-water,256,,35840,232,Water Nutrients,1310,ug/L
NC06_CB04,2630,9/7/06 0:00,36.39926,-75.84735,Currituck Banks - Currituck Sound,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,30.57,SRF-water,256,,35841,232,Water Nutrients,1310,ug/L
NC06_MI05,2635,9/13/06 0:00,34.15813,-77.85067,Masonboro Island - ICW Masonboro Sound,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,3.22,SRF-water,256,,35846,232,Water Nutrients,1310,ug/L
NC06_MI07,2637,9/13/06 0:00,34.16906,-77.84251,Masonboro Island - ICW Masonboro Sound,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,2.58,SRF-water,256,,35849,232,Water Nutrients,1310,ug/L
NC06_MI11,2641,9/12/06 0:00,34.13828,-77.86426,Masonboro Island - ICW Masonboro Sound,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,3.44,SRF-water,256,,35854,232,Water Nutrients,1310,ug/L
NC06_MI01,2631,9/12/06 0:00,34.12385,-77.86794,Masonboro Island - ICW Myrtle Grove Sound,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,4.34,SRF-water,256,,35842,232,Water Nutrients,1310,ug/L
NC06_MI06,2636,9/13/06 0:00,34.17625,-77.82579,Masonboro Island - Masonboro Channel,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,3.09,SRF-water,256,,35848,232,Water Nutrients,1310,ug/L
NC06_MI10,2640,9/14/06 0:00,34.14796,-77.85262,Masonboro Island - Masonboro Sound,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,3.68,SRF-water,256,,35852,232,Water Nutrients,1310,ug/L
NC06_MI03,2633,9/14/06 0:00,34.12228,-77.8588,Masonboro Island - Myrtle Grove Sound,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,2.48,SRF-water,256,,35844,232,Water Nutrients,1310,ug/L
NC06_MI04,2634,9/14/06 0:00,34.11205,-77.86269,Masonboro Island - Myrtle Grove Sound,44,2006 North Carolina NERRS,136,NERRS Regional Environmental Assessments,110,41,Hand,1,chlorophyllaActiveugL,1.93,SRF-water,256,,35845,232,Water Nutrients,1310,ug/L
